dataset,instancia,n,M,archivo
random-bf,BT-MC-1,1,3,instancias/random-bf/BF-R-1.txt
random-bf,BT-MC-2,2,6,instancias/random-bf/BF-R-2.txt
random-bf,BT-MC-3,3,9,instancias/random-bf/BF-R-3.txt
random-bf,BT-MC-4,4,12,instancias/random-bf/BF-R-4.txt
random-bf,BT-MC-5,5,15,instancias/random-bf/BF-R-5.txt
random-bf,BT-MC-6,6,18,instancias/random-bf/BF-R-6.txt
random-bf,BT-MC-7,7,21,instancias/random-bf/BF-R-7.txt
random-bf,BT-MC-8,8,24,instancias/random-bf/BF-R-8.txt
random-bf,BT-MC-9,9,27,instancias/random-bf/BF-R-9.txt
random-bf,BT-MC-10,10,30,instancias/random-bf/BF-R-10.txt
random-bf,BT-MC-11,11,33,instancias/random-bf/BF-R-11.txt
random-bf,BT-MC-12,12,36,instancias/random-bf/BF-R-12.txt
random-bf,BT-MC-13,13,39,instancias/random-bf/BF-R-13.txt
random-bf,BT-MC-14,14,42,instancias/random-bf/BF-R-14.txt
random-bf,BT-MC-15,15,45,instancias/random-bf/BF-R-15.txt
random-bf,BT-MC-16,16,48,instancias/random-bf/BF-R-16.txt
random-bf,BT-MC-17,17,51,instancias/random-bf/BF-R-17.txt
random-bf,BT-MC-18,18,54,instancias/random-bf/BF-R-18.txt
random-bf,BT-MC-19,19,57,instancias/random-bf/BF-R-19.txt
random-bf,BT-MC-20,20,60,instancias/random-bf/BF-R-20.txt
random-bf,BT-MC-21,21,63,instancias/random-bf/BF-R-21.txt
random-bf,BT-MC-22,22,66,instancias/random-bf/BF-R-22.txt
random-bf,BT-MC-23,23,69,instancias/random-bf/BF-R-23.txt
random-bf,BT-MC-24,24,72,instancias/random-bf/BF-R-24.txt
random-bf,BT-MC-25,25,75,instancias/random-bf/BF-R-25.txt
random-bf,BT-MC-26,26,78,instancias/random-bf/BF-R-26.txt
random-bf,BT-MC-27,27,81,instancias/random-bf/BF-R-27.txt
random-bf,BT-MC-28,28,84,instancias/random-bf/BF-R-28.txt
random-bf,BT-MC-29,29,87,instancias/random-bf/BF-R-29.txt
random-bf,BT-MC-30,30,90,instancias/random-bf/BF-R-30.txt
random-bf,BT-MC-31,31,93,instancias/random-bf/BF-R-31.txt
random-bf,BT-MC-32,32,96,instancias/random-bf/BF-R-32.txt
random-bf,BT-MC-33,33,99,instancias/random-bf/BF-R-33.txt
random-bf,BT-MC-34,34,102,instancias/random-bf/BF-R-34.txt
random-bf,BT-MC-35,35,105,instancias/random-bf/BF-R-35.txt
random-bf,BT-MC-36,36,108,instancias/random-bf/BF-R-36.txt
random-bf,BT-MC-37,37,111,instancias/random-bf/BF-R-37.txt
random-bf,BT-MC-38,38,114,instancias/random-bf/BF-R-38.txt
random-bf,BT-MC-39,39,117,instancias/random-bf/BF-R-39.txt
random-bf,BT-MC-40,40,120,instancias/random-bf/BF-R-40.txt
random-bf,BT-MC-41,41,123,instancias/random-bf/BF-R-41.txt
random-bf,BT-MC-42,42,126,instancias/random-bf/BF-R-42.txt
random-bf,BT-MC-43,43,129,instancias/random-bf/BF-R-43.txt
random-bf,BT-MC-44,44,132,instancias/random-bf/BF-R-44.txt
random-bf,BT-MC-45,45,135,instancias/random-bf/BF-R-45.txt
random-bf,BT-MC-46,46,138,instancias/random-bf/BF-R-46.txt
random-bf,BT-MC-47,47,141,instancias/random-bf/BF-R-47.txt
random-bf,BT-MC-48,48,144,instancias/random-bf/BF-R-48.txt
random-bf,BT-MC-49,49,147,instancias/random-bf/BF-R-49.txt
