dataset,instancia,n,M,archivo
dinamica,DP-0-0,0,0,instancias/dinamica/DP-0-0.txt
dinamica,DP-0-100,0,100,instancias/dinamica/DP-0-100.txt
dinamica,DP-0-200,0,200,instancias/dinamica/DP-0-200.txt
dinamica,DP-0-300,0,300,instancias/dinamica/DP-0-300.txt
dinamica,DP-0-400,0,400,instancias/dinamica/DP-0-400.txt
dinamica,DP-0-500,0,500,instancias/dinamica/DP-0-500.txt
dinamica,DP-0-600,0,600,instancias/dinamica/DP-0-600.txt
dinamica,DP-0-700,0,700,instancias/dinamica/DP-0-700.txt
dinamica,DP-0-800,0,800,instancias/dinamica/DP-0-800.txt
dinamica,DP-0-900,0,900,instancias/dinamica/DP-0-900.txt
dinamica,DP-0-1000,0,1000,instancias/dinamica/DP-0-1000.txt
dinamica,DP-0-1100,0,1100,instancias/dinamica/DP-0-1100.txt
dinamica,DP-0-1200,0,1200,instancias/dinamica/DP-0-1200.txt
dinamica,DP-0-1300,0,1300,instancias/dinamica/DP-0-1300.txt
dinamica,DP-0-1400,0,1400,instancias/dinamica/DP-0-1400.txt
dinamica,DP-100-0,100,0,instancias/dinamica/DP-100-0.txt
dinamica,DP-100-100,100,100,instancias/dinamica/DP-100-100.txt
dinamica,DP-100-200,100,200,instancias/dinamica/DP-100-200.txt
dinamica,DP-100-300,100,300,instancias/dinamica/DP-100-300.txt
dinamica,DP-100-400,100,400,instancias/dinamica/DP-100-400.txt
dinamica,DP-100-500,100,500,instancias/dinamica/DP-100-500.txt
dinamica,DP-100-600,100,600,instancias/dinamica/DP-100-600.txt
dinamica,DP-100-700,100,700,instancias/dinamica/DP-100-700.txt
dinamica,DP-100-800,100,800,instancias/dinamica/DP-100-800.txt
dinamica,DP-100-900,100,900,instancias/dinamica/DP-100-900.txt
dinamica,DP-100-1000,100,1000,instancias/dinamica/DP-100-1000.txt
dinamica,DP-100-1100,100,1100,instancias/dinamica/DP-100-1100.txt
dinamica,DP-100-1200,100,1200,instancias/dinamica/DP-100-1200.txt
dinamica,DP-100-1300,100,1300,instancias/dinamica/DP-100-1300.txt
dinamica,DP-100-1400,100,1400,instancias/dinamica/DP-100-1400.txt
dinamica,DP-200-0,200,0,instancias/dinamica/DP-200-0.txt
dinamica,DP-200-100,200,100,instancias/dinamica/DP-200-100.txt
dinamica,DP-200-200,200,200,instancias/dinamica/DP-200-200.txt
dinamica,DP-200-300,200,300,instancias/dinamica/DP-200-300.txt
dinamica,DP-200-400,200,400,instancias/dinamica/DP-200-400.txt
dinamica,DP-200-500,200,500,instancias/dinamica/DP-200-500.txt
dinamica,DP-200-600,200,600,instancias/dinamica/DP-200-600.txt
dinamica,DP-200-700,200,700,instancias/dinamica/DP-200-700.txt
dinamica,DP-200-800,200,800,instancias/dinamica/DP-200-800.txt
dinamica,DP-200-900,200,900,instancias/dinamica/DP-200-900.txt
dinamica,DP-200-1000,200,1000,instancias/dinamica/DP-200-1000.txt
dinamica,DP-200-1100,200,1100,instancias/dinamica/DP-200-1100.txt
dinamica,DP-200-1200,200,1200,instancias/dinamica/DP-200-1200.txt
dinamica,DP-200-1300,200,1300,instancias/dinamica/DP-200-1300.txt
dinamica,DP-200-1400,200,1400,instancias/dinamica/DP-200-1400.txt
dinamica,DP-300-0,300,0,instancias/dinamica/DP-300-0.txt
dinamica,DP-300-100,300,100,instancias/dinamica/DP-300-100.txt
dinamica,DP-300-200,300,200,instancias/dinamica/DP-300-200.txt
dinamica,DP-300-300,300,300,instancias/dinamica/DP-300-300.txt
dinamica,DP-300-400,300,400,instancias/dinamica/DP-300-400.txt
dinamica,DP-300-500,300,500,instancias/dinamica/DP-300-500.txt
dinamica,DP-300-600,300,600,instancias/dinamica/DP-300-600.txt
dinamica,DP-300-700,300,700,instancias/dinamica/DP-300-700.txt
dinamica,DP-300-800,300,800,instancias/dinamica/DP-300-800.txt
dinamica,DP-300-900,300,900,instancias/dinamica/DP-300-900.txt
dinamica,DP-300-1000,300,1000,instancias/dinamica/DP-300-1000.txt
dinamica,DP-300-1100,300,1100,instancias/dinamica/DP-300-1100.txt
dinamica,DP-300-1200,300,1200,instancias/dinamica/DP-300-1200.txt
dinamica,DP-300-1300,300,1300,instancias/dinamica/DP-300-1300.txt
dinamica,DP-300-1400,300,1400,instancias/dinamica/DP-300-1400.txt
dinamica,DP-400-0,400,0,instancias/dinamica/DP-400-0.txt
