dataset,instancia,n,M,archivo
mejor-caso-bt,BT-M-1,1,3,instancias/mejor-caso-bt/BT-M-1.txt
mejor-caso-bt,BT-M-2,2,6,instancias/mejor-caso-bt/BT-M-2.txt
mejor-caso-bt,BT-M-3,3,9,instancias/mejor-caso-bt/BT-M-3.txt
mejor-caso-bt,BT-M-4,4,12,instancias/mejor-caso-bt/BT-M-4.txt
mejor-caso-bt,BT-M-5,5,15,instancias/mejor-caso-bt/BT-M-5.txt
mejor-caso-bt,BT-M-6,6,18,instancias/mejor-caso-bt/BT-M-6.txt
mejor-caso-bt,BT-M-7,7,21,instancias/mejor-caso-bt/BT-M-7.txt
mejor-caso-bt,BT-M-8,8,24,instancias/mejor-caso-bt/BT-M-8.txt
mejor-caso-bt,BT-M-9,9,27,instancias/mejor-caso-bt/BT-M-9.txt
mejor-caso-bt,BT-M-10,10,30,instancias/mejor-caso-bt/BT-M-10.txt
mejor-caso-bt,BT-M-11,11,33,instancias/mejor-caso-bt/BT-M-11.txt
mejor-caso-bt,BT-M-12,12,36,instancias/mejor-caso-bt/BT-M-12.txt
mejor-caso-bt,BT-M-13,13,39,instancias/mejor-caso-bt/BT-M-13.txt
mejor-caso-bt,BT-M-14,14,42,instancias/mejor-caso-bt/BT-M-14.txt
mejor-caso-bt,BT-M-15,15,45,instancias/mejor-caso-bt/BT-M-15.txt
mejor-caso-bt,BT-M-16,16,48,instancias/mejor-caso-bt/BT-M-16.txt
mejor-caso-bt,BT-M-17,17,51,instancias/mejor-caso-bt/BT-M-17.txt
mejor-caso-bt,BT-M-18,18,54,instancias/mejor-caso-bt/BT-M-18.txt
mejor-caso-bt,BT-M-19,19,57,instancias/mejor-caso-bt/BT-M-19.txt
mejor-caso-bt,BT-M-20,20,60,instancias/mejor-caso-bt/BT-M-20.txt
mejor-caso-bt,BT-M-21,21,63,instancias/mejor-caso-bt/BT-M-21.txt
mejor-caso-bt,BT-M-22,22,66,instancias/mejor-caso-bt/BT-M-22.txt
mejor-caso-bt,BT-M-23,23,69,instancias/mejor-caso-bt/BT-M-23.txt
mejor-caso-bt,BT-M-24,24,72,instancias/mejor-caso-bt/BT-M-24.txt
mejor-caso-bt,BT-M-25,25,75,instancias/mejor-caso-bt/BT-M-25.txt
mejor-caso-bt,BT-M-26,26,78,instancias/mejor-caso-bt/BT-M-26.txt
mejor-caso-bt,BT-M-27,27,81,instancias/mejor-caso-bt/BT-M-27.txt
