dataset,instancia,n,M,archivo
peor-caso-bt,BT-P-1,1,1,instancias/peor-caso-bt/BT-P-1.txt
peor-caso-bt,BT-P-2,2,2,instancias/peor-caso-bt/BT-P-2.txt
peor-caso-bt,BT-P-3,3,3,instancias/peor-caso-bt/BT-P-3.txt
peor-caso-bt,BT-P-4,4,4,instancias/peor-caso-bt/BT-P-4.txt
peor-caso-bt,BT-P-5,5,5,instancias/peor-caso-bt/BT-P-5.txt
peor-caso-bt,BT-P-6,6,6,instancias/peor-caso-bt/BT-P-6.txt
peor-caso-bt,BT-P-7,7,7,instancias/peor-caso-bt/BT-P-7.txt
peor-caso-bt,BT-P-8,8,8,instancias/peor-caso-bt/BT-P-8.txt
peor-caso-bt,BT-P-9,9,9,instancias/peor-caso-bt/BT-P-9.txt
peor-caso-bt,BT-P-10,10,10,instancias/peor-caso-bt/BT-P-10.txt
peor-caso-bt,BT-P-11,11,11,instancias/peor-caso-bt/BT-P-11.txt
peor-caso-bt,BT-P-12,12,12,instancias/peor-caso-bt/BT-P-12.txt
peor-caso-bt,BT-P-13,13,13,instancias/peor-caso-bt/BT-P-13.txt
peor-caso-bt,BT-P-14,14,14,instancias/peor-caso-bt/BT-P-14.txt
peor-caso-bt,BT-P-15,15,15,instancias/peor-caso-bt/BT-P-15.txt
peor-caso-bt,BT-P-16,16,16,instancias/peor-caso-bt/BT-P-16.txt
peor-caso-bt,BT-P-17,17,17,instancias/peor-caso-bt/BT-P-17.txt
peor-caso-bt,BT-P-18,18,18,instancias/peor-caso-bt/BT-P-18.txt
peor-caso-bt,BT-P-19,19,19,instancias/peor-caso-bt/BT-P-19.txt
peor-caso-bt,BT-P-20,20,20,instancias/peor-caso-bt/BT-P-20.txt
peor-caso-bt,BT-P-21,21,21,instancias/peor-caso-bt/BT-P-21.txt
peor-caso-bt,BT-P-22,22,22,instancias/peor-caso-bt/BT-P-22.txt
peor-caso-bt,BT-P-23,23,23,instancias/peor-caso-bt/BT-P-23.txt
peor-caso-bt,BT-P-24,24,24,instancias/peor-caso-bt/BT-P-24.txt
peor-caso-bt,BT-P-25,25,25,instancias/peor-caso-bt/BT-P-25.txt
peor-caso-bt,BT-P-26,26,26,instancias/peor-caso-bt/BT-P-26.txt
peor-caso-bt,BT-P-27,27,27,instancias/peor-caso-bt/BT-P-27.txt
peor-caso-bt,BT-P-28,28,28,instancias/peor-caso-bt/BT-P-28.txt
peor-caso-bt,BT-P-29,29,29,instancias/peor-caso-bt/BT-P-29.txt
peor-caso-bt,BT-P-30,30,30,instancias/peor-caso-bt/BT-P-30.txt
peor-caso-bt,BT-P-31,31,31,instancias/peor-caso-bt/BT-P-31.txt
peor-caso-bt,BT-P-32,32,32,instancias/peor-caso-bt/BT-P-32.txt
peor-caso-bt,BT-P-33,33,33,instancias/peor-caso-bt/BT-P-33.txt
peor-caso-bt,BT-P-34,34,34,instancias/peor-caso-bt/BT-P-34.txt
peor-caso-bt,BT-P-35,35,35,instancias/peor-caso-bt/BT-P-35.txt
peor-caso-bt,BT-P-36,36,36,instancias/peor-caso-bt/BT-P-36.txt
peor-caso-bt,BT-P-37,37,37,instancias/peor-caso-bt/BT-P-37.txt
peor-caso-bt,BT-P-38,38,38,instancias/peor-caso-bt/BT-P-38.txt
peor-caso-bt,BT-P-39,39,39,instancias/peor-caso-bt/BT-P-39.txt
