dataset,instancia,n,M,archivo
poda-fact-bt,BT-F-1,1,3,instancias/poda-fact-bt/BT-F-1.txt
poda-fact-bt,BT-F-2,2,6,instancias/poda-fact-bt/BT-F-2.txt
poda-fact-bt,BT-F-3,3,9,instancias/poda-fact-bt/BT-F-3.txt
poda-fact-bt,BT-F-4,4,12,instancias/poda-fact-bt/BT-F-4.txt
poda-fact-bt,BT-F-5,5,15,instancias/poda-fact-bt/BT-F-5.txt
poda-fact-bt,BT-F-6,6,18,instancias/poda-fact-bt/BT-F-6.txt
poda-fact-bt,BT-F-7,7,21,instancias/poda-fact-bt/BT-F-7.txt
poda-fact-bt,BT-F-8,8,24,instancias/poda-fact-bt/BT-F-8.txt
poda-fact-bt,BT-F-9,9,27,instancias/poda-fact-bt/BT-F-9.txt
poda-fact-bt,BT-F-10,10,30,instancias/poda-fact-bt/BT-F-10.txt
poda-fact-bt,BT-F-11,11,33,instancias/poda-fact-bt/BT-F-11.txt
poda-fact-bt,BT-F-12,12,36,instancias/poda-fact-bt/BT-F-12.txt
poda-fact-bt,BT-F-13,13,39,instancias/poda-fact-bt/BT-F-13.txt
poda-fact-bt,BT-F-14,14,42,instancias/poda-fact-bt/BT-F-14.txt
poda-fact-bt,BT-F-15,15,45,instancias/poda-fact-bt/BT-F-15.txt
poda-fact-bt,BT-F-16,16,48,instancias/poda-fact-bt/BT-F-16.txt
poda-fact-bt,BT-F-17,17,51,instancias/poda-fact-bt/BT-F-17.txt
poda-fact-bt,BT-F-18,18,54,instancias/poda-fact-bt/BT-F-18.txt
poda-fact-bt,BT-F-19,19,57,instancias/poda-fact-bt/BT-F-19.txt
poda-fact-bt,BT-F-20,20,60,instancias/poda-fact-bt/BT-F-20.txt
poda-fact-bt,BT-F-21,21,63,instancias/poda-fact-bt/BT-F-21.txt
poda-fact-bt,BT-F-22,22,66,instancias/poda-fact-bt/BT-F-22.txt
poda-fact-bt,BT-F-23,23,69,instancias/poda-fact-bt/BT-F-23.txt
poda-fact-bt,BT-F-24,24,72,instancias/poda-fact-bt/BT-F-24.txt
poda-fact-bt,BT-F-25,25,75,instancias/poda-fact-bt/BT-F-25.txt
poda-fact-bt,BT-F-26,26,78,instancias/poda-fact-bt/BT-F-26.txt
poda-fact-bt,BT-F-27,27,81,instancias/poda-fact-bt/BT-F-27.txt
poda-fact-bt,BT-F-28,28,84,instancias/poda-fact-bt/BT-F-28.txt
poda-fact-bt,BT-F-29,29,87,instancias/poda-fact-bt/BT-F-29.txt
poda-fact-bt,BT-F-30,30,90,instancias/poda-fact-bt/BT-F-30.txt
poda-fact-bt,BT-F-31,31,93,instancias/poda-fact-bt/BT-F-31.txt
poda-fact-bt,BT-F-32,32,96,instancias/poda-fact-bt/BT-F-32.txt
poda-fact-bt,BT-F-33,33,99,instancias/poda-fact-bt/BT-F-33.txt
poda-fact-bt,BT-F-34,34,102,instancias/poda-fact-bt/BT-F-34.txt
poda-fact-bt,BT-F-35,35,105,instancias/poda-fact-bt/BT-F-35.txt
poda-fact-bt,BT-F-36,36,108,instancias/poda-fact-bt/BT-F-36.txt
poda-fact-bt,BT-F-37,37,111,instancias/poda-fact-bt/BT-F-37.txt
poda-fact-bt,BT-F-38,38,114,instancias/poda-fact-bt/BT-F-38.txt
poda-fact-bt,BT-F-39,39,117,instancias/poda-fact-bt/BT-F-39.txt
