dataset,instancia,n,M,archivo
poda-opt-bt,BT-O-1,1,3,instancias/poda-opt-bt/BT-O-1.txt
poda-opt-bt,BT-O-2,2,6,instancias/poda-opt-bt/BT-O-2.txt
poda-opt-bt,BT-O-3,3,9,instancias/poda-opt-bt/BT-O-3.txt
poda-opt-bt,BT-O-4,4,12,instancias/poda-opt-bt/BT-O-4.txt
poda-opt-bt,BT-O-5,5,15,instancias/poda-opt-bt/BT-O-5.txt
poda-opt-bt,BT-O-6,6,18,instancias/poda-opt-bt/BT-O-6.txt
poda-opt-bt,BT-O-7,7,21,instancias/poda-opt-bt/BT-O-7.txt
poda-opt-bt,BT-O-8,8,24,instancias/poda-opt-bt/BT-O-8.txt
poda-opt-bt,BT-O-9,9,27,instancias/poda-opt-bt/BT-O-9.txt
poda-opt-bt,BT-O-10,10,30,instancias/poda-opt-bt/BT-O-10.txt
poda-opt-bt,BT-O-11,11,33,instancias/poda-opt-bt/BT-O-11.txt
poda-opt-bt,BT-O-12,12,36,instancias/poda-opt-bt/BT-O-12.txt
poda-opt-bt,BT-O-13,13,39,instancias/poda-opt-bt/BT-O-13.txt
poda-opt-bt,BT-O-14,14,42,instancias/poda-opt-bt/BT-O-14.txt
poda-opt-bt,BT-O-15,15,45,instancias/poda-opt-bt/BT-O-15.txt
poda-opt-bt,BT-O-16,16,48,instancias/poda-opt-bt/BT-O-16.txt
poda-opt-bt,BT-O-17,17,51,instancias/poda-opt-bt/BT-O-17.txt
poda-opt-bt,BT-O-18,18,54,instancias/poda-opt-bt/BT-O-18.txt
poda-opt-bt,BT-O-19,19,57,instancias/poda-opt-bt/BT-O-19.txt
poda-opt-bt,BT-O-20,20,60,instancias/poda-opt-bt/BT-O-20.txt
poda-opt-bt,BT-O-21,21,63,instancias/poda-opt-bt/BT-O-21.txt
poda-opt-bt,BT-O-22,22,66,instancias/poda-opt-bt/BT-O-22.txt
poda-opt-bt,BT-O-23,23,69,instancias/poda-opt-bt/BT-O-23.txt
poda-opt-bt,BT-O-24,24,72,instancias/poda-opt-bt/BT-O-24.txt
poda-opt-bt,BT-O-25,25,75,instancias/poda-opt-bt/BT-O-25.txt
poda-opt-bt,BT-O-26,26,78,instancias/poda-opt-bt/BT-O-26.txt
poda-opt-bt,BT-O-27,27,81,instancias/poda-opt-bt/BT-O-27.txt
poda-opt-bt,BT-O-28,28,84,instancias/poda-opt-bt/BT-O-28.txt
poda-opt-bt,BT-O-29,29,87,instancias/poda-opt-bt/BT-O-29.txt
poda-opt-bt,BT-O-30,30,90,instancias/poda-opt-bt/BT-O-30.txt
poda-opt-bt,BT-O-31,31,93,instancias/poda-opt-bt/BT-O-31.txt
poda-opt-bt,BT-O-32,32,96,instancias/poda-opt-bt/BT-O-32.txt
poda-opt-bt,BT-O-33,33,99,instancias/poda-opt-bt/BT-O-33.txt
poda-opt-bt,BT-O-34,34,102,instancias/poda-opt-bt/BT-O-34.txt
poda-opt-bt,BT-O-35,35,105,instancias/poda-opt-bt/BT-O-35.txt
poda-opt-bt,BT-O-36,36,108,instancias/poda-opt-bt/BT-O-36.txt
poda-opt-bt,BT-O-37,37,111,instancias/poda-opt-bt/BT-O-37.txt
poda-opt-bt,BT-O-38,38,114,instancias/poda-opt-bt/BT-O-38.txt
poda-opt-bt,BT-O-39,39,117,instancias/poda-opt-bt/BT-O-39.txt
