dataset,instancia,n,M,archivo
random-bf,BF-1,1,3,instancias/random-bf/BF-1.txt
random-bf,BF-2,2,6,instancias/random-bf/BF-2.txt
random-bf,BF-3,3,9,instancias/random-bf/BF-3.txt
random-bf,BF-4,4,12,instancias/random-bf/BF-4.txt
random-bf,BF-5,5,15,instancias/random-bf/BF-5.txt
random-bf,BF-6,6,18,instancias/random-bf/BF-6.txt
random-bf,BF-7,7,21,instancias/random-bf/BF-7.txt
random-bf,BF-8,8,24,instancias/random-bf/BF-8.txt
random-bf,BF-9,9,27,instancias/random-bf/BF-9.txt
random-bf,BF-10,10,30,instancias/random-bf/BF-10.txt
random-bf,BF-11,11,33,instancias/random-bf/BF-11.txt
random-bf,BF-12,12,36,instancias/random-bf/BF-12.txt
random-bf,BF-13,13,39,instancias/random-bf/BF-13.txt
random-bf,BF-14,14,42,instancias/random-bf/BF-14.txt
random-bf,BF-15,15,45,instancias/random-bf/BF-15.txt
random-bf,BF-16,16,48,instancias/random-bf/BF-16.txt
random-bf,BF-17,17,51,instancias/random-bf/BF-17.txt
random-bf,BF-18,18,54,instancias/random-bf/BF-18.txt
random-bf,BF-19,19,57,instancias/random-bf/BF-19.txt
random-bf,BF-20,20,60,instancias/random-bf/BF-20.txt
random-bf,BF-21,21,63,instancias/random-bf/BF-21.txt
random-bf,BF-22,22,66,instancias/random-bf/BF-22.txt
random-bf,BF-23,23,69,instancias/random-bf/BF-23.txt
random-bf,BF-24,24,72,instancias/random-bf/BF-24.txt
random-bf,BF-25,25,75,instancias/random-bf/BF-25.txt
random-bf,BF-26,26,78,instancias/random-bf/BF-26.txt
random-bf,BF-27,27,81,instancias/random-bf/BF-27.txt
random-bf,BF-28,28,84,instancias/random-bf/BF-28.txt
random-bf,BF-29,29,87,instancias/random-bf/BF-29.txt
random-bf,BF-30,30,90,instancias/random-bf/BF-30.txt
random-bf,BF-31,31,93,instancias/random-bf/BF-31.txt
random-bf,BF-32,32,96,instancias/random-bf/BF-32.txt
random-bf,BF-33,33,99,instancias/random-bf/BF-33.txt
random-bf,BF-34,34,102,instancias/random-bf/BF-34.txt
random-bf,BF-35,35,105,instancias/random-bf/BF-35.txt
random-bf,BF-36,36,108,instancias/random-bf/BF-36.txt
random-bf,BF-37,37,111,instancias/random-bf/BF-37.txt
random-bf,BF-38,38,114,instancias/random-bf/BF-38.txt
random-bf,BF-39,39,117,instancias/random-bf/BF-39.txt
random-bf,BF-40,40,120,instancias/random-bf/BF-40.txt
random-bf,BF-41,41,123,instancias/random-bf/BF-41.txt
random-bf,BF-42,42,126,instancias/random-bf/BF-42.txt
random-bf,BF-43,43,129,instancias/random-bf/BF-43.txt
random-bf,BF-44,44,132,instancias/random-bf/BF-44.txt
random-bf,BF-45,45,135,instancias/random-bf/BF-45.txt
random-bf,BF-46,46,138,instancias/random-bf/BF-46.txt
random-bf,BF-47,47,141,instancias/random-bf/BF-47.txt
random-bf,BF-48,48,144,instancias/random-bf/BF-48.txt
random-bf,BF-49,49,147,instancias/random-bf/BF-49.txt
