n,tiempo,metodo,dataset
2,0.000003,BT,peor-caso-bt
4,0.000001,BT,peor-caso-bt
6,0.000001,BT,peor-caso-bt
8,0.000003,BT,peor-caso-bt
10,0.000008,BT,peor-caso-bt
12,0.000011,BT,peor-caso-bt
14,0.000027,BT,peor-caso-bt
16,0.000069,BT,peor-caso-bt
18,0.000177,BT,peor-caso-bt
20,0.000492,BT,peor-caso-bt
22,0.001213,BT,peor-caso-bt
24,0.003221,BT,peor-caso-bt
26,0.012230,BT,peor-caso-bt
28,0.022666,BT,peor-caso-bt
30,0.061120,BT,peor-caso-bt
32,0.160187,BT,peor-caso-bt
34,0.421546,BT,peor-caso-bt
36,1.056746,BT,peor-caso-bt
38,2.823145,BT,peor-caso-bt
40,7.512856,BT,peor-caso-bt
42,19.115845,BT,peor-caso-bt
