dataset,n,M,metodo,tiempo
peor-caso-bt,1,1,BT,11.721553
peor-caso-bt,2,2,BT,12.632882
peor-caso-bt,3,3,BT,8.245877
peor-caso-bt,4,4,BT,10.227497
peor-caso-bt,5,5,BT,8.503242
peor-caso-bt,6,6,BT,6.641454
peor-caso-bt,7,7,BT,6.093609
peor-caso-bt,8,8,BT,9.163311
peor-caso-bt,9,9,BT,10.902578
peor-caso-bt,10,10,BT,6.359496
peor-caso-bt,11,11,BT,9.162225
peor-caso-bt,12,12,BT,7.375727
peor-caso-bt,13,13,BT,9.125728
peor-caso-bt,14,14,BT,8.84717
peor-caso-bt,15,15,BT,6.516705
peor-caso-bt,16,16,BT,6.229253
peor-caso-bt,17,17,BT,11.413411
peor-caso-bt,18,18,BT,9.612999
peor-caso-bt,19,19,BT,6.658031
peor-caso-bt,20,20,BT,8.007579
peor-caso-bt,21,21,BT,8.844532
peor-caso-bt,22,22,BT,11.613442
peor-caso-bt,23,23,BT,10.364049
peor-caso-bt,24,24,BT,10.934891
peor-caso-bt,25,25,BT,15.867195
peor-caso-bt,26,26,BT,15.627053
peor-caso-bt,27,27,BT,20.761851
peor-caso-bt,28,28,BT,28.35527
peor-caso-bt,29,29,BT,40.355681
peor-caso-bt,30,30,BT,57.311273
peor-caso-bt,31,31,BT,86.812382
peor-caso-bt,32,32,BT,133.167741
peor-caso-bt,33,33,BT,212.603123
peor-caso-bt,34,34,BT,337.90627
peor-caso-bt,35,35,BT,538.475445
peor-caso-bt,36,36,BT,862.924577
peor-caso-bt,37,37,BT,1391.59408
peor-caso-bt,38,38,BT,2240.050425
peor-caso-bt,39,39,BT,3625.512513
dinamica,0,0,DP,5.778354
dinamica,0,100,DP,125.22153
dinamica,0,200,DP,127.378458
dinamica,0,300,DP,147.260562
dinamica,0,400,DP,185.156143
dinamica,0,500,DP,147.152681
dinamica,0,600,DP,141.515921
dinamica,0,700,DP,129.495447
dinamica,0,800,DP,135.453888
dinamica,0,900,DP,132.155129
dinamica,0,1000,DP,125.46048
dinamica,0,1100,DP,129.81519
dinamica,0,1200,DP,130.816146
dinamica,0,1300,DP,130.512362
dinamica,0,1400,DP,130.843819
dinamica,100,0,DP,7.363243
dinamica,100,100,DP,9.738272
dinamica,100,200,DP,13.708772
dinamica,100,300,DP,19.325177
dinamica,100,400,DP,17.596264
dinamica,100,500,DP,22.359788
dinamica,100,600,DP,22.917818
dinamica,100,700,DP,28.454755
dinamica,100,800,DP,29.085299
dinamica,100,900,DP,32.72819
dinamica,100,1000,DP,35.126912
dinamica,100,1100,DP,38.942384
dinamica,100,1200,DP,40.138744
dinamica,100,1300,DP,41.990256
dinamica,100,1400,DP,46.23554
dinamica,200,0,DP,5.847361
dinamica,200,100,DP,12.778892
dinamica,200,200,DP,18.996418
dinamica,200,300,DP,23.736878
dinamica,200,400,DP,30.776169
dinamica,200,500,DP,35.548519
dinamica,200,600,DP,41.047094
dinamica,200,700,DP,47.368727
dinamica,200,800,DP,51.79124
dinamica,200,900,DP,57.51915
dinamica,200,1000,DP,66.892816
dinamica,200,1100,DP,68.861736
dinamica,200,1200,DP,76.678474
dinamica,200,1300,DP,81.783637
dinamica,200,1400,DP,85.79174
dinamica,300,0,DP,7.084225
dinamica,300,100,DP,15.476531
dinamica,300,200,DP,23.594946
dinamica,300,300,DP,32.057466
dinamica,300,400,DP,40.807893
dinamica,300,500,DP,47.105067
dinamica,300,600,DP,58.314911
dinamica,300,700,DP,66.572676
dinamica,300,800,DP,73.955078
dinamica,300,900,DP,83.532309
dinamica,300,1000,DP,94.079377
dinamica,300,1100,DP,104.362277
dinamica,300,1200,DP,114.369593
dinamica,300,1300,DP,120.552129
dinamica,300,1400,DP,132.530742
dinamica,400,0,DP,6.910657
dinamica,400,100,DP,18.679014
dinamica,400,200,DP,29.833158
dinamica,400,300,DP,42.57803
dinamica,400,400,DP,53.983814
dinamica,400,500,DP,63.767217
dinamica,400,600,DP,75.584096
dinamica,400,700,DP,92.7773
dinamica,400,800,DP,102.137589
dinamica,400,900,DP,114.294781
dinamica,400,1000,DP,126.379227
dinamica,400,1100,DP,134.985359
dinamica,400,1200,DP,149.185656
dinamica,400,1300,DP,166.411867
dinamica,400,1400,DP,175.113915
dinamica,500,0,DP,7.416469
dinamica,500,100,DP,22.768803
dinamica,500,200,DP,35.967699
dinamica,500,300,DP,51.68214
dinamica,500,400,DP,68.364501
dinamica,500,500,DP,79.540149
dinamica,500,600,DP,93.395534
dinamica,500,700,DP,111.179318
dinamica,500,800,DP,124.33622
dinamica,500,900,DP,138.895999
dinamica,500,1000,DP,156.409955
dinamica,500,1100,DP,167.92308
dinamica,500,1200,DP,184.121025
dinamica,500,1300,DP,199.662863
dinamica,500,1400,DP,217.054875
dinamica,600,0,DP,8.004206
dinamica,600,100,DP,22.355813
dinamica,600,200,DP,40.407659
dinamica,600,300,DP,59.951759
dinamica,600,400,DP,75.466428
dinamica,600,500,DP,91.965538
dinamica,600,600,DP,112.248167
dinamica,600,700,DP,130.103265
dinamica,600,800,DP,149.83753
dinamica,600,900,DP,167.299722
dinamica,600,1000,DP,185.610807
dinamica,600,1100,DP,200.267661
dinamica,600,1200,DP,222.056622
dinamica,600,1300,DP,239.116922
dinamica,600,1400,DP,255.24617
dinamica,700,0,DP,5.870686
dinamica,700,100,DP,25.79834
dinamica,700,200,DP,47.547154
dinamica,700,300,DP,67.479941
dinamica,700,400,DP,86.746021
dinamica,700,500,DP,107.283378
dinamica,700,600,DP,127.480885
dinamica,700,700,DP,149.679146
dinamica,700,800,DP,169.195891
dinamica,700,900,DP,194.721565
dinamica,700,1000,DP,216.253634
dinamica,700,1100,DP,234.701622
dinamica,700,1200,DP,255.517099
dinamica,700,1300,DP,275.268274
dinamica,700,1400,DP,296.92122
dinamica,800,0,DP,7.433103
dinamica,800,100,DP,28.014921
dinamica,800,200,DP,54.008053
dinamica,800,300,DP,76.298352
dinamica,800,400,DP,99.437103
dinamica,800,500,DP,123.118868
dinamica,800,600,DP,148.582559
dinamica,800,700,DP,177.237657
dinamica,800,800,DP,192.908725
dinamica,800,900,DP,225.402257
dinamica,800,1000,DP,241.704442
dinamica,800,1100,DP,263.602777
dinamica,800,1200,DP,290.931531
dinamica,800,1300,DP,313.994739
dinamica,800,1400,DP,338.6912
dinamica,900,0,DP,7.076381
dinamica,900,100,DP,31.028789
dinamica,900,200,DP,59.915913
dinamica,900,300,DP,86.413208
dinamica,900,400,DP,109.470378
dinamica,900,500,DP,137.870097
dinamica,900,600,DP,164.721406
dinamica,900,700,DP,193.704346
dinamica,900,800,DP,218.21075
dinamica,900,900,DP,243.182334
dinamica,900,1000,DP,270.465678
dinamica,900,1100,DP,294.293748
dinamica,900,1200,DP,325.754171
dinamica,900,1300,DP,349.171106
dinamica,900,1400,DP,373.169728
dinamica,1000,0,DP,7.0517
dinamica,1000,100,DP,34.626374
dinamica,1000,200,DP,64.882094
dinamica,1000,300,DP,95.406969
dinamica,1000,400,DP,122.888179
dinamica,1000,500,DP,151.236207
dinamica,1000,600,DP,180.621535
dinamica,1000,700,DP,212.900648
dinamica,1000,800,DP,238.624895
dinamica,1000,900,DP,270.76891
dinamica,1000,1000,DP,297.572038
dinamica,1000,1100,DP,328.565248
dinamica,1000,1200,DP,362.233014
dinamica,1000,1300,DP,386.14924
dinamica,1000,1400,DP,414.123945
dinamica,1100,0,DP,6.861222
dinamica,1100,100,DP,36.496724
dinamica,1100,200,DP,69.833481
dinamica,1100,300,DP,99.916976
dinamica,1100,400,DP,137.212762
dinamica,1100,500,DP,168.712786
dinamica,1100,600,DP,199.187904
dinamica,1100,700,DP,232.453761
dinamica,1100,800,DP,260.152006
dinamica,1100,900,DP,293.729124
dinamica,1100,1000,DP,324.713462
dinamica,1100,1100,DP,355.764783
dinamica,1100,1200,DP,392.181528
dinamica,1100,1300,DP,454.475902
dinamica,1100,1400,DP,457.765129
dinamica,1200,0,DP,7.45582
dinamica,1200,100,DP,39.355739
dinamica,1200,200,DP,75.689314
dinamica,1200,300,DP,111.446187
dinamica,1200,400,DP,145.770056
dinamica,1200,500,DP,182.510994
dinamica,1200,600,DP,216.781679
dinamica,1200,700,DP,249.362828
dinamica,1200,800,DP,286.385866
dinamica,1200,900,DP,325.069872
dinamica,1200,1000,DP,353.918285
dinamica,1200,1100,DP,389.599661
dinamica,1200,1200,DP,421.695128
dinamica,1200,1300,DP,456.481371
dinamica,1200,1400,DP,494.462509
dinamica,1300,0,DP,6.972292
dinamica,1300,100,DP,41.465934
dinamica,1300,200,DP,83.229728
dinamica,1300,300,DP,117.681729
dinamica,1300,400,DP,155.734884
dinamica,1300,500,DP,191.771372
dinamica,1300,600,DP,231.662082
dinamica,1300,700,DP,272.630359
dinamica,1300,800,DP,309.743294
dinamica,1300,900,DP,347.684589
dinamica,1300,1000,DP,389.935643
dinamica,1300,1100,DP,418.368182
dinamica,1300,1200,DP,478.203217
dinamica,1300,1300,DP,494.100078
dinamica,1300,1400,DP,531.990905
dinamica,1400,0,DP,7.285728
dinamica,1400,100,DP,44.013512
dinamica,1400,200,DP,84.8804
dinamica,1400,300,DP,124.76677
dinamica,1400,400,DP,166.9159
dinamica,1400,500,DP,206.359082
dinamica,1400,600,DP,247.342505
dinamica,1400,700,DP,292.028565
dinamica,1400,800,DP,331.971496
dinamica,1400,900,DP,369.599697
dinamica,1400,1000,DP,413.78064
dinamica,1400,1100,DP,452.407048
dinamica,1400,1200,DP,497.298083
dinamica,1400,1300,DP,528.602764
dinamica,1400,1400,DP,577.4431
